cve,publicada,cvss,cvss_severidad,cvss_version,epss,epss_percentil,kev_fabricante,kev_producto,kev_fecha_agregada,kev_ransomware,explotada,cvss_banda,epss_alto,prioridad,riesgo_base,riesgo
CVE-2026-8663,2026-06-25,6.0,MEDIUM,3.1,0.00833,0.53885,,,,,False,Media,False,4 - Seguimiento normal,0.05,0.05
CVE-2026-9780,2026-06-25,8.8,HIGH,3.0,0.0067,0.48239,,,,,False,Alta,False,4 - Seguimiento normal,0.059,0.059
CVE-2026-9702,2026-06-25,7.5,HIGH,3.1,0.00208,0.11144,,,,,False,Alta,False,4 - Seguimiento normal,0.0156,0.0156
CVE-2026-53186,2026-06-25,9.1,CRITICAL,3.1,0.00514,0.40771,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0468,0.0468
CVE-2026-53268,2026-06-25,8.2,HIGH,3.1,0.00344,0.26921,,,,,False,Alta,False,4 - Seguimiento normal,0.0282,0.0282
CVE-2026-55413,2026-06-25,9.4,CRITICAL,4.0,0.00256,0.17128,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0241,0.0241
CVE-2026-6094,2026-06-25,6.3,MEDIUM,4.0,0.00295,0.21684,,,,,False,Media,False,4 - Seguimiento normal,0.0186,0.0186
CVE-2026-50549,2026-06-25,9.3,CRITICAL,4.0,0.01267,0.66736,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.1178,0.1178
CVE-2026-57700,2026-06-25,10.0,CRITICAL,3.1,0.00362,0.28815,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0362,0.0362
CVE-2026-38640,2026-06-25,7.5,HIGH,3.1,0.00446,0.365,,,,,False,Alta,False,4 - Seguimiento normal,0.0335,0.0335
CVE-2026-10098,2026-06-25,6.3,MEDIUM,4.0,0.00121,0.0221,,,,,False,Media,False,4 - Seguimiento normal,0.0076,0.0076
CVE-2026-9219,2026-06-26,8.3,HIGH,4.0,0.00203,0.10517,,,,,False,Alta,False,4 - Seguimiento normal,0.0168,0.0168
CVE-2026-48615,2026-06-26,7.5,HIGH,3.1,0.00421,0.34537,,,,,False,Alta,False,4 - Seguimiento normal,0.0316,0.0316
CVE-2025-64636,2026-06-26,5.3,MEDIUM,3.1,0.00208,0.11083,,,,,False,Media,False,4 - Seguimiento normal,0.011,0.011
CVE-2026-56010,2026-06-26,8.8,HIGH,3.1,0.00378,0.30378,,,,,False,Alta,False,4 - Seguimiento normal,0.0333,0.0333
CVE-2026-57658,2026-06-26,9.1,CRITICAL,3.1,0.0027,0.18929,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0246,0.0246
