cve,publicada,cvss,cvss_severidad,cvss_version,epss,epss_percentil,kev_fabricante,kev_producto,kev_fecha_agregada,kev_ransomware,explotada,cvss_banda,epss_alto,prioridad,riesgo_base,riesgo
CVE-2022-43803,2023-01-01,,,,0.0,0.0,,,,,False,Sin puntaje,False,4 - Seguimiento normal,0.0,0.0
CVE-2022-43816,2023-01-01,,,,0.0,0.0,,,,,False,Sin puntaje,False,4 - Seguimiento normal,0.0,0.0
CVE-2014-125037,2023-01-02,5.5,MEDIUM,3.1,0.00643,0.47103,,,,,False,Media,False,4 - Seguimiento normal,0.0354,0.0354
CVE-2022-4355,2023-01-02,7.2,HIGH,3.1,0.00874,0.55227,,,,,False,Alta,False,4 - Seguimiento normal,0.0629,0.0629
CVE-2022-32649,2023-01-03,6.7,MEDIUM,3.1,0.001,0.01,,,,,False,Media,False,4 - Seguimiento normal,0.0067,0.0067
CVE-2021-41985,2023-01-04,,,,0.0,0.0,,,,,False,Sin puntaje,False,4 - Seguimiento normal,0.0,0.0
CVE-2022-45052,2023-01-04,8.8,HIGH,3.1,0.00719,0.50086,,,,,False,Alta,False,4 - Seguimiento normal,0.0633,0.0633
CVE-2022-43525,2023-01-05,6.1,MEDIUM,3.1,0.00462,0.37546,,,,,False,Media,False,4 - Seguimiento normal,0.0282,0.0282
CVE-2016-15009,2023-01-05,3.5,LOW,3.1,0.00344,0.26954,,,,,False,Baja,False,4 - Seguimiento normal,0.012,0.012
CVE-2015-10013,2023-01-05,3.5,LOW,3.1,0.00638,0.46892,,,,,False,Baja,False,4 - Seguimiento normal,0.0223,0.0223
CVE-2014-125041,2023-01-05,5.5,MEDIUM,3.1,0.00658,0.47776,,,,,False,Media,False,4 - Seguimiento normal,0.0362,0.0362
CVE-2022-47543,2023-01-05,5.3,MEDIUM,3.1,0.00418,0.34277,,,,,False,Media,False,4 - Seguimiento normal,0.0222,0.0222
CVE-2020-7112,2023-01-06,,,,0.0,0.0,,,,,False,Sin puntaje,False,4 - Seguimiento normal,0.0,0.0
CVE-2014-125052,2023-01-06,5.5,MEDIUM,3.1,0.00643,0.47102,,,,,False,Media,False,4 - Seguimiento normal,0.0354,0.0354
CVE-2014-125053,2023-01-06,5.5,MEDIUM,3.1,0.00724,0.50249,,,,,False,Media,False,4 - Seguimiento normal,0.0398,0.0398
CVE-2014-125060,2023-01-07,7.3,HIGH,3.1,0.00951,0.57644,,,,,False,Alta,False,4 - Seguimiento normal,0.0694,0.0694
CVE-2022-33265,2023-01-09,7.3,HIGH,3.1,0.0036,0.28603,,,,,False,Alta,False,4 - Seguimiento normal,0.0263,0.0263
CVE-2022-36925,2023-01-09,4.4,MEDIUM,3.1,0.0012,0.02133,,,,,False,Media,False,4 - Seguimiento normal,0.0053,0.0053
CVE-2015-10035,2023-01-09,5.5,MEDIUM,3.1,0.00657,0.47709,,,,,False,Media,False,4 - Seguimiento normal,0.0361,0.0361
CVE-2022-43972,2023-01-09,6.5,MEDIUM,3.1,0.01313,0.67737,,,,,False,Media,False,4 - Seguimiento normal,0.0853,0.0853
CVE-2022-3416,2023-01-09,7.2,HIGH,3.1,0.17285,0.96786,,,,,False,Alta,True,2 - Explotación probable,1.2445,1.2445
CVE-2022-4491,2023-01-09,5.4,MEDIUM,3.1,0.00471,0.38128,,,,,False,Media,False,4 - Seguimiento normal,0.0254,0.0254
CVE-2022-46610,2023-01-10,8.8,HIGH,3.1,0.18087,0.96893,,,,,False,Alta,True,2 - Explotación probable,1.5917,1.5917
CVE-2022-4422,2023-01-10,9.8,CRITICAL,3.1,0.0062,0.46113,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0608,0.0608
CVE-2022-4711,2023-01-10,4.3,MEDIUM,3.1,0.00688,0.48943,,,,,False,Media,False,4 - Seguimiento normal,0.0296,0.0296
CVE-2023-0138,2023-01-10,8.8,HIGH,3.1,0.007,0.49376,,,,,False,Alta,False,4 - Seguimiento normal,0.0616,0.0616
CVE-2023-21738,2023-01-10,7.8,HIGH,3.1,0.00696,0.49244,,,,,False,Alta,False,4 - Seguimiento normal,0.0543,0.0543
CVE-2023-22958,2023-01-11,6.1,MEDIUM,3.1,0.00448,0.36655,,,,,False,Media,False,4 - Seguimiento normal,0.0273,0.0273
CVE-2021-26396,2023-01-11,4.4,MEDIUM,3.1,0.00113,0.01658,,,,,False,Media,False,4 - Seguimiento normal,0.005,0.005
CVE-2022-4499,2023-01-11,7.5,HIGH,3.1,0.00709,0.49728,,,,,False,Alta,False,4 - Seguimiento normal,0.0532,0.0532
CVE-2022-41809,2023-01-11,,,,0.0,0.0,,,,,False,Sin puntaje,False,4 - Seguimiento normal,0.0,0.0
CVE-2017-16285,2023-01-11,9.9,CRITICAL,3.1,0.00673,0.48361,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0666,0.0666
CVE-2017-16324,2023-01-11,9.9,CRITICAL,3.1,0.00853,0.54529,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0844,0.0844
CVE-2017-16331,2023-01-11,9.9,CRITICAL,3.1,0.00853,0.54532,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0844,0.0844
CVE-2022-4365,2023-01-12,5.5,MEDIUM,3.1,0.00711,0.4979,,,,,False,Media,False,4 - Seguimiento normal,0.0391,0.0391
CVE-2022-46370,2023-01-12,7.3,HIGH,3.1,0.00225,0.13259,,,,,False,Alta,False,4 - Seguimiento normal,0.0164,0.0164
CVE-2023-0247,2023-01-12,7.8,HIGH,3.1,0.00403,0.32914,,,,,False,Alta,False,4 - Seguimiento normal,0.0314,0.0314
CVE-2022-46472,2023-01-12,7.2,HIGH,3.1,0.00726,0.50367,,,,,False,Alta,False,4 - Seguimiento normal,0.0523,0.0523
CVE-2023-22407,2023-01-13,6.5,MEDIUM,3.1,0.00309,0.23172,,,,,False,Media,False,4 - Seguimiento normal,0.0201,0.0201
CVE-2022-3159,2023-01-13,7.8,HIGH,3.1,0.00472,0.38207,,,,,False,Alta,False,4 - Seguimiento normal,0.0368,0.0368
CVE-2022-42279,2023-01-13,7.2,HIGH,3.1,0.01075,0.61523,,,,,False,Alta,False,4 - Seguimiento normal,0.0774,0.0774
CVE-2023-21587,2023-01-13,7.8,HIGH,3.1,0.00412,0.33753,,,,,False,Alta,False,4 - Seguimiento normal,0.0321,0.0321
CVE-2021-36204,2023-01-13,7.8,HIGH,3.1,0.00418,0.34291,,,,,False,Alta,False,4 - Seguimiento normal,0.0326,0.0326
CVE-2022-45299,2023-01-13,9.8,CRITICAL,3.1,0.01349,0.68571,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.1322,0.1322
CVE-2023-0308,2023-01-15,5.4,MEDIUM,3.1,0.00487,0.39131,,,,,False,Media,False,4 - Seguimiento normal,0.0263,0.0263
CVE-2023-0314,2023-01-15,6.1,MEDIUM,3.1,0.00513,0.40704,,,,,False,Media,False,4 - Seguimiento normal,0.0313,0.0313
CVE-2022-43719,2023-01-16,8.8,HIGH,3.1,0.00567,0.4363,,,,,False,Alta,False,4 - Seguimiento normal,0.0499,0.0499
CVE-2022-4578,2023-01-16,5.4,MEDIUM,3.1,0.00471,0.38129,,,,,False,Media,False,4 - Seguimiento normal,0.0254,0.0254
CVE-2022-4655,2023-01-16,5.4,MEDIUM,3.1,0.00471,0.38115,,,,,False,Media,False,4 - Seguimiento normal,0.0254,0.0254
CVE-2023-22298,2023-01-17,6.1,MEDIUM,3.1,0.0091,0.5632,,,,,False,Media,False,4 - Seguimiento normal,0.0555,0.0555
CVE-2022-41860,2023-01-17,7.5,HIGH,3.1,0.01171,0.64164,,,,,False,Alta,False,4 - Seguimiento normal,0.0878,0.0878
CVE-2021-36647,2023-01-17,4.7,MEDIUM,3.1,0.00163,0.05912,,,,,False,Media,False,4 - Seguimiento normal,0.0077,0.0077
CVE-2022-46660,2023-01-18,7.5,HIGH,3.1,0.00556,0.43042,,,,,False,Alta,False,4 - Seguimiento normal,0.0417,0.0417
CVE-2023-21846,2023-01-18,8.8,HIGH,3.1,0.00631,0.4655,,,,,False,Alta,False,4 - Seguimiento normal,0.0555,0.0555
CVE-2022-34456,2023-01-18,8.8,HIGH,3.1,0.00833,0.5389,,,,,False,Alta,False,4 - Seguimiento normal,0.0733,0.0733
CVE-2022-47966,2023-01-18,9.8,CRITICAL,3.1,0.99753,0.99955,Zoho,ManageEngine,2023-01-23,Known,True,Crítica,True,1 - Explotada activamente,9.7758,10.0
CVE-2023-0242,2023-01-18,8.8,HIGH,3.1,0.00544,0.4239,,,,,False,Alta,False,4 - Seguimiento normal,0.0479,0.0479
CVE-2022-47194,2023-01-19,5.4,MEDIUM,3.1,0.00823,0.5358,,,,,False,Media,False,4 - Seguimiento normal,0.0444,0.0444
CVE-2023-23596,2023-01-20,8.8,HIGH,3.1,0.15198,0.964,,,,,False,Alta,True,2 - Explotación probable,1.3374,1.3374
CVE-2022-48121,2023-01-20,9.8,CRITICAL,3.1,0.01958,0.78208,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.1919,0.1919
CVE-2020-25502,2023-01-20,7.8,HIGH,3.1,0.00231,0.14112,,,,,False,Alta,False,4 - Seguimiento normal,0.018,0.018
CVE-2022-48281,2023-01-23,5.5,MEDIUM,3.1,0.00461,0.37515,,,,,False,Media,False,4 - Seguimiento normal,0.0254,0.0254
CVE-2022-3425,2023-01-23,7.2,HIGH,3.1,0.01046,0.60639,,,,,False,Alta,False,4 - Seguimiento normal,0.0753,0.0753
CVE-2023-22484,2023-01-23,3.5,LOW,3.1,0.00956,0.57786,,,,,False,Baja,False,4 - Seguimiento normal,0.0335,0.0335
CVE-2023-21795,2023-01-24,8.3,HIGH,3.1,0.00884,0.55491,,,,,False,Alta,False,4 - Seguimiento normal,0.0734,0.0734
CVE-2022-42393,2023-01-26,5.5,MEDIUM,3.1,0.00357,0.28317,,,,,False,Media,False,4 - Seguimiento normal,0.0196,0.0196
CVE-2022-42397,2023-01-26,5.5,MEDIUM,3.1,0.00357,0.28319,,,,,False,Media,False,4 - Seguimiento normal,0.0196,0.0196
CVE-2022-42398,2023-01-26,5.5,MEDIUM,3.1,0.00357,0.28318,,,,,False,Media,False,4 - Seguimiento normal,0.0196,0.0196
CVE-2022-42405,2023-01-26,7.8,HIGH,3.1,0.00364,0.29066,,,,,False,Alta,False,4 - Seguimiento normal,0.0284,0.0284
CVE-2022-42407,2023-01-26,5.5,MEDIUM,3.1,0.00366,0.29241,,,,,False,Media,False,4 - Seguimiento normal,0.0201,0.0201
CVE-2021-41989,2023-01-26,7.8,HIGH,3.1,0.003,0.2223,,,,,False,Alta,False,4 - Seguimiento normal,0.0234,0.0234
CVE-2022-20458,2023-01-26,5.5,MEDIUM,3.1,0.00123,0.02493,,,,,False,Media,False,4 - Seguimiento normal,0.0068,0.0068
CVE-2022-47767,2023-01-26,9.8,CRITICAL,3.1,0.01248,0.66233,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.1223,0.1223
CVE-2023-0513,2023-01-26,3.5,LOW,3.1,0.00714,0.49902,,,,,False,Baja,False,4 - Seguimiento normal,0.025,0.025
CVE-2023-24454,2023-01-26,5.5,MEDIUM,3.1,0.00203,0.10516,,,,,False,Media,False,4 - Seguimiento normal,0.0112,0.0112
CVE-2022-41016,2023-01-26,9.8,CRITICAL,3.1,0.01666,0.74308,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.1633,0.1633
CVE-2022-41021,2023-01-26,7.2,HIGH,3.1,0.01665,0.7429,,,,,False,Alta,False,4 - Seguimiento normal,0.1199,0.1199
CVE-2023-0530,2023-01-27,4.7,MEDIUM,3.1,0.00595,0.44911,,,,,False,Media,False,4 - Seguimiento normal,0.028,0.028
CVE-2023-0556,2023-01-27,9.8,CRITICAL,3.1,0.00952,0.57673,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0933,0.0933
CVE-2023-0561,2023-01-28,6.3,MEDIUM,3.1,0.00717,0.50045,,,,,False,Media,False,4 - Seguimiento normal,0.0452,0.0452
CVE-2023-0570,2023-01-29,6.3,MEDIUM,3.1,0.00608,0.4549,,,,,False,Media,False,4 - Seguimiento normal,0.0383,0.0383
CVE-2022-32512,2023-01-30,5.3,MEDIUM,3.1,0.00263,0.18044,,,,,False,Media,False,4 - Seguimiento normal,0.0139,0.0139
CVE-2022-32522,2023-01-30,9.8,CRITICAL,3.1,0.01112,0.62594,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.109,0.109
CVE-2022-32526,2023-01-30,9.8,CRITICAL,3.1,0.01269,0.6677,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.1244,0.1244
CVE-2022-32748,2023-01-30,7.9,HIGH,3.1,0.00141,0.03862,,,,,False,Alta,False,4 - Seguimiento normal,0.0111,0.0111
CVE-2023-22900,2023-01-31,9.8,CRITICAL,3.1,0.01026,0.60029,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.1005,0.1005
CVE-2022-46835,2023-01-31,8.8,HIGH,3.1,0.00935,0.57109,,,,,False,Alta,False,4 - Seguimiento normal,0.0823,0.0823
CVE-2023-0607,2023-02-01,4.8,MEDIUM,3.1,0.00682,0.48726,,,,,False,Media,False,4 - Seguimiento normal,0.0327,0.0327
CVE-2022-45100,2023-02-01,8.1,HIGH,3.1,0.00505,0.40248,,,,,False,Alta,False,4 - Seguimiento normal,0.0409,0.0409
CVE-2022-45102,2023-02-01,5.4,MEDIUM,3.1,0.00474,0.38363,,,,,False,Media,False,4 - Seguimiento normal,0.0256,0.0256
CVE-2022-23453,2023-02-01,7.8,HIGH,3.1,0.00186,0.08493,,,,,False,Alta,False,4 - Seguimiento normal,0.0145,0.0145
CVE-2023-22284,2023-02-01,,,,0.0,0.0,,,,,False,Sin puntaje,False,4 - Seguimiento normal,0.0,0.0
CVE-2023-0642,2023-02-02,6.5,MEDIUM,3.1,0.00412,0.33786,,,,,False,Media,False,4 - Seguimiento normal,0.0268,0.0268
CVE-2023-0646,2023-02-02,6.3,MEDIUM,3.1,0.03158,0.86624,,,,,False,Media,False,4 - Seguimiento normal,0.199,0.199
CVE-2023-0649,2023-02-02,6.3,MEDIUM,3.1,0.03158,0.86625,,,,,False,Media,False,4 - Seguimiento normal,0.199,0.199
CVE-2022-48140,2023-02-02,5.4,MEDIUM,3.1,0.004,0.32669,,,,,False,Media,False,4 - Seguimiento normal,0.0216,0.0216
CVE-2021-37311,2023-02-03,7.5,HIGH,3.1,0.00927,0.56829,,,,,False,Alta,False,4 - Seguimiento normal,0.0695,0.0695
CVE-2022-45588,2023-02-03,7.8,HIGH,3.1,0.00185,0.08328,,,,,False,Alta,False,4 - Seguimiento normal,0.0144,0.0144
CVE-2015-10072,2023-02-04,3.5,LOW,3.1,0.00535,0.41936,,,,,False,Baja,False,4 - Seguimiento normal,0.0187,0.0187
CVE-2017-20176,2023-02-06,3.5,LOW,3.1,0.00523,0.41293,,,,,False,Baja,False,4 - Seguimiento normal,0.0183,0.0183
CVE-2023-0171,2023-02-06,5.4,MEDIUM,3.1,0.00562,0.43387,,,,,False,Media,False,4 - Seguimiento normal,0.0303,0.0303
CVE-2023-20609,2023-02-06,4.4,MEDIUM,3.1,0.00099,0.00968,,,,,False,Media,False,4 - Seguimiento normal,0.0044,0.0044
CVE-2023-20613,2023-02-06,6.7,MEDIUM,3.1,0.001,0.01042,,,,,False,Media,False,4 - Seguimiento normal,0.0067,0.0067
CVE-2022-41311,2023-02-07,5.4,MEDIUM,3.1,0.01028,0.60088,,,,,False,Media,False,4 - Seguimiento normal,0.0555,0.0555
CVE-2023-0696,2023-02-07,8.8,HIGH,3.1,0.00584,0.44406,,,,,False,Alta,False,4 - Seguimiento normal,0.0514,0.0514
CVE-2023-0741,2023-02-08,9.0,CRITICAL,3.1,0.00871,0.5512,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0784,0.0784
CVE-2022-43761,2023-02-08,9.4,CRITICAL,3.1,0.00551,0.42788,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0518,0.0518
CVE-2022-48301,2023-02-09,7.5,HIGH,3.1,0.00327,0.25162,,,,,False,Alta,False,4 - Seguimiento normal,0.0245,0.0245
CVE-2022-48302,2023-02-09,7.5,HIGH,3.1,0.00377,0.30329,,,,,False,Alta,False,4 - Seguimiento normal,0.0283,0.0283
CVE-2023-23912,2023-02-09,8.8,HIGH,3.1,0.0089,0.55664,,,,,False,Alta,False,4 - Seguimiento normal,0.0783,0.0783
CVE-2022-34384,2023-02-11,7.8,HIGH,3.1,0.00232,0.14204,,,,,False,Alta,False,4 - Seguimiento normal,0.0181,0.0181
CVE-2022-34385,2023-02-11,5.5,MEDIUM,3.1,0.00128,0.02813,,,,,False,Media,False,4 - Seguimiento normal,0.007,0.007
CVE-2022-25729,2023-02-12,9.8,CRITICAL,3.1,0.00443,0.36244,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0434,0.0434
CVE-2022-25733,2023-02-12,7.5,HIGH,3.1,0.00406,0.33265,,,,,False,Alta,False,4 - Seguimiento normal,0.0305,0.0305
CVE-2022-47354,2023-02-12,5.5,MEDIUM,3.1,0.00081,0.00255,,,,,False,Media,False,4 - Seguimiento normal,0.0045,0.0045
CVE-2022-47358,2023-02-12,5.5,MEDIUM,3.1,0.00087,0.00449,,,,,False,Media,False,4 - Seguimiento normal,0.0048,0.0048
CVE-2023-20076,2023-02-12,7.2,HIGH,3.1,0.01506,0.71709,,,,,False,Alta,False,4 - Seguimiento normal,0.1084,0.1084
CVE-2023-22360,2023-02-13,7.8,HIGH,3.1,0.00292,0.21416,,,,,False,Alta,False,4 - Seguimiento normal,0.0228,0.0228
CVE-2022-4458,2023-02-13,5.4,MEDIUM,3.1,0.00477,0.38526,,,,,False,Media,False,4 - Seguimiento normal,0.0258,0.0258
CVE-2023-0255,2023-02-13,8.8,HIGH,3.1,0.01096,0.62157,,,,,False,Alta,False,4 - Seguimiento normal,0.0964,0.0964
CVE-2023-25161,2023-02-13,3.7,LOW,3.1,0.00729,0.5044,,,,,False,Baja,False,4 - Seguimiento normal,0.027,0.027
CVE-2023-25162,2023-02-13,5.3,MEDIUM,3.1,0.00816,0.53373,,,,,False,Media,False,4 - Seguimiento normal,0.0432,0.0432
CVE-2023-24994,2023-02-14,7.8,HIGH,3.1,0.00226,0.13419,,,,,False,Alta,False,4 - Seguimiento normal,0.0176,0.0176
CVE-2023-22938,2023-02-14,4.3,MEDIUM,3.1,0.00359,0.28475,,,,,False,Media,False,4 - Seguimiento normal,0.0154,0.0154
CVE-2023-21707,2023-02-14,8.8,HIGH,3.1,0.8202,0.99619,,,,,False,Alta,True,2 - Explotación probable,7.2178,7.2178
CVE-2023-21713,2023-02-14,8.8,HIGH,3.1,0.01755,0.75591,,,,,False,Alta,False,4 - Seguimiento normal,0.1544,0.1544
CVE-2023-21801,2023-02-14,7.8,HIGH,3.1,0.00406,0.3326,,,,,False,Alta,False,4 - Seguimiento normal,0.0317,0.0317
CVE-2023-20949,2023-02-15,5.5,MEDIUM,3.1,0.00091,0.00587,,,,,False,Media,False,4 - Seguimiento normal,0.005,0.005
CVE-2022-47503,2023-02-15,7.2,HIGH,3.1,0.24439,0.97644,,,,,False,Alta,True,2 - Explotación probable,1.7596,1.7596
CVE-2022-38867,2023-02-15,8.8,HIGH,3.1,0.00894,0.55805,,,,,False,Alta,False,4 - Seguimiento normal,0.0787,0.0787
CVE-2022-30539,2023-02-16,7.5,HIGH,3.1,0.00211,0.11517,,,,,False,Alta,False,4 - Seguimiento normal,0.0158,0.0158
CVE-2021-33950,2023-02-17,7.5,HIGH,3.1,0.00704,0.49536,,,,,False,Alta,False,4 - Seguimiento normal,0.0528,0.0528
CVE-2022-34351,2023-02-17,5.9,MEDIUM,3.1,0.00388,0.31451,,,,,False,Media,False,4 - Seguimiento normal,0.0229,0.0229
CVE-2023-21575,2023-02-17,7.8,HIGH,3.1,0.00302,0.22454,,,,,False,Alta,False,4 - Seguimiento normal,0.0236,0.0236
CVE-2023-21593,2023-02-17,5.5,MEDIUM,3.1,0.00329,0.25305,,,,,False,Media,False,4 - Seguimiento normal,0.0181,0.0181
CVE-2023-22232,2023-02-17,5.3,MEDIUM,3.1,0.81875,0.99614,,,,,False,Media,True,2 - Explotación probable,4.3394,4.3394
CVE-2023-0912,2023-02-18,4.7,MEDIUM,3.1,0.01635,0.73848,,,,,False,Media,False,4 - Seguimiento normal,0.0768,0.0768
CVE-2022-48320,2023-02-20,5.4,MEDIUM,3.1,0.00229,0.13884,,,,,False,Media,False,4 - Seguimiento normal,0.0124,0.0124
CVE-2022-4750,2023-02-21,5.4,MEDIUM,3.1,0.00471,0.38125,,,,,False,Media,False,4 - Seguimiento normal,0.0254,0.0254
CVE-2022-4785,2023-02-21,5.4,MEDIUM,3.1,0.00471,0.38111,,,,,False,Media,False,4 - Seguimiento normal,0.0254,0.0254
CVE-2023-0540,2023-02-21,5.4,MEDIUM,3.1,0.00457,0.37257,,,,,False,Media,False,4 - Seguimiento normal,0.0247,0.0247
CVE-2023-0936,2023-02-21,6.5,MEDIUM,3.1,0.00927,0.56827,,,,,False,Media,False,4 - Seguimiento normal,0.0603,0.0603
CVE-2021-23943,2023-02-21,,,,0.0,0.0,,,,,False,Sin puntaje,False,4 - Seguimiento normal,0.0,0.0
CVE-2017-1002,2023-02-22,,,,0.0,0.0,,,,,False,Sin puntaje,False,4 - Seguimiento normal,0.0,0.0
CVE-2017-1021,2023-02-22,,,,0.0,0.0,,,,,False,Sin puntaje,False,4 - Seguimiento normal,0.0,0.0
CVE-2017-1061,2023-02-22,,,,0.0,0.0,,,,,False,Sin puntaje,False,4 - Seguimiento normal,0.0,0.0
CVE-2023-25692,2023-02-24,7.5,HIGH,3.1,0.01826,0.76571,,,,,False,Alta,False,4 - Seguimiento normal,0.1369,0.1369
CVE-2023-25696,2023-02-24,9.8,CRITICAL,3.1,0.01982,0.7847,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.1942,0.1942
CVE-2021-34248,2023-02-24,,,,0.0,0.0,,,,,False,Sin puntaje,False,4 - Seguimiento normal,0.0,0.0
CVE-2023-1033,2023-02-25,8.8,HIGH,3.1,0.00324,0.24773,,,,,False,Alta,False,4 - Seguimiento normal,0.0285,0.0285
CVE-2023-1044,2023-02-26,4.3,MEDIUM,3.1,0.01117,0.62709,,,,,False,Media,False,4 - Seguimiento normal,0.048,0.048
CVE-2023-1063,2023-02-27,6.3,MEDIUM,3.1,0.00728,0.50418,,,,,False,Media,False,4 - Seguimiento normal,0.0459,0.0459
CVE-2022-34910,2023-02-27,4.1,MEDIUM,3.1,0.00127,0.02749,,,,,False,Media,False,4 - Seguimiento normal,0.0052,0.0052
CVE-2023-25233,2023-02-27,9.8,CRITICAL,3.1,0.00966,0.58069,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0947,0.0947
CVE-2018-18176,2023-02-27,,,,0.0,0.0,,,,,False,Sin puntaje,False,4 - Seguimiento normal,0.0,0.0
CVE-2018-18183,2023-02-27,,,,0.0,0.0,,,,,False,Sin puntaje,False,4 - Seguimiento normal,0.0,0.0
CVE-2023-23504,2023-02-27,7.8,HIGH,3.1,0.00339,0.26348,,,,,False,Alta,False,4 - Seguimiento normal,0.0264,0.0264
CVE-2023-23507,2023-02-27,7.8,HIGH,3.1,0.00237,0.14824,,,,,False,Alta,False,4 - Seguimiento normal,0.0185,0.0185
CVE-2022-20455,2023-02-28,5.5,MEDIUM,3.1,0.00119,0.02094,,,,,False,Media,False,4 - Seguimiento normal,0.0065,0.0065
CVE-2023-0339,2023-02-28,9.1,CRITICAL,3.1,0.00973,0.58394,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0885,0.0885
CVE-2019-14644,2023-02-28,,,,0.0,0.0,,,,,False,Sin puntaje,False,4 - Seguimiento normal,0.0,0.0
CVE-2022-27672,2023-03-01,4.7,MEDIUM,3.1,0.00289,0.21107,,,,,False,Media,False,4 - Seguimiento normal,0.0136,0.0136
CVE-2022-42296,2023-03-01,,,,0.0,0.0,,,,,False,Sin puntaje,False,4 - Seguimiento normal,0.0,0.0
CVE-2023-0951,2023-03-01,8.8,HIGH,3.1,0.00997,0.59096,,,,,False,Alta,False,4 - Seguimiento normal,0.0877,0.0877
CVE-2023-22756,2023-03-01,8.1,HIGH,3.1,0.01073,0.61446,,,,,False,Alta,False,4 - Seguimiento normal,0.0869,0.0869
CVE-2022-3162,2023-03-01,6.5,MEDIUM,3.1,0.01191,0.64742,,,,,False,Media,False,4 - Seguimiento normal,0.0774,0.0774
CVE-2023-26780,2023-03-02,9.8,CRITICAL,3.1,0.0078,0.52163,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0764,0.0764
CVE-2023-26479,2023-03-02,6.5,MEDIUM,3.1,0.01083,0.61725,,,,,False,Media,False,4 - Seguimiento normal,0.0704,0.0704
CVE-2018-3680,2023-03-03,,,,0.0,0.0,,,,,False,Sin puntaje,False,4 - Seguimiento normal,0.0,0.0
CVE-2023-24642,2023-03-03,9.8,CRITICAL,3.1,0.00832,0.53863,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0815,0.0815
CVE-2023-26213,2023-03-03,7.2,HIGH,3.1,0.07878,0.94086,,,,,False,Alta,False,4 - Seguimiento normal,0.5672,0.5672
CVE-2023-0734,2023-03-05,5.3,MEDIUM,3.1,0.00498,0.39803,,,,,False,Media,False,4 - Seguimiento normal,0.0264,0.0264
CVE-2022-48364,2023-03-06,4.3,MEDIUM,3.1,0.00685,0.48827,,,,,False,Media,False,4 - Seguimiento normal,0.0295,0.0295
CVE-2023-24735,2023-03-06,6.1,MEDIUM,3.1,0.0108,0.61627,,,,,False,Media,False,4 - Seguimiento normal,0.0659,0.0659
CVE-2023-20633,2023-03-07,6.7,MEDIUM,3.1,0.00093,0.0067,,,,,False,Media,False,4 - Seguimiento normal,0.0062,0.0062
CVE-2022-21224,2023-03-07,,,,0.0,0.0,,,,,False,Sin puntaje,False,4 - Seguimiento normal,0.0,0.0
CVE-2023-26950,2023-03-08,5.4,MEDIUM,3.1,0.00384,0.31007,,,,,False,Media,False,4 - Seguimiento normal,0.0207,0.0207
CVE-2022-46752,2023-03-08,4.6,MEDIUM,3.1,0.00287,0.20949,,,,,False,Media,False,4 - Seguimiento normal,0.0132,0.0132
CVE-2023-1317,2023-03-10,5.4,MEDIUM,3.1,0.01015,0.59687,,,,,False,Media,False,4 - Seguimiento normal,0.0548,0.0548
CVE-2023-27852,2023-03-10,9.8,CRITICAL,3.1,0.00813,0.53244,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0797,0.0797
CVE-2022-25709,2023-03-10,8.4,HIGH,3.1,0.00123,0.02462,,,,,False,Alta,False,4 - Seguimiento normal,0.0103,0.0103
CVE-2022-47459,2023-03-10,5.5,MEDIUM,3.1,0.00088,0.00494,,,,,False,Media,False,4 - Seguimiento normal,0.0048,0.0048
CVE-2022-47462,2023-03-10,6.7,MEDIUM,3.1,0.00096,0.00815,,,,,False,Media,False,4 - Seguimiento normal,0.0064,0.0064
CVE-2022-47477,2023-03-10,5.5,MEDIUM,3.1,0.00089,0.00512,,,,,False,Media,False,4 - Seguimiento normal,0.0049,0.0049
CVE-2022-47484,2023-03-10,5.5,MEDIUM,3.1,0.00087,0.00459,,,,,False,Media,False,4 - Seguimiento normal,0.0048,0.0048
CVE-2023-23326,2023-03-10,5.4,MEDIUM,3.1,0.00487,0.39164,,,,,False,Media,False,4 - Seguimiento normal,0.0263,0.0263
CVE-2023-1351,2023-03-11,6.3,MEDIUM,3.1,0.00808,0.53117,,,,,False,Media,False,4 - Seguimiento normal,0.0509,0.0509
